name,free_returns,items_sold,price,status,shipping
"Vintage Artic Fox Fur Fluffy Tapered Collar Wrap Stole 53"" Long",False,,8499,,550
wild republic white wolf / Artic Fox plush,False,,1257,Pre-Owned,2070
Hallmark Ornament 2003 Cool Decade White Artic Fox with Redbird #4  ,True,,400,Pre-Owned,427
hallmark 1994 Merry Minitures artic white fox,False,,99,Pre-Owned,600
WEBKINZ Artic Fox HM210 With Gift Bag by Ganz Plush-Beanbag Animal Toy w Tags,False,,2000,Pre-Owned,1710
Ladies Tu Grey Artic Fox Slinky Soft Pyjamas Size 18 BNIP,False,,1578,Brand New,2202
LEGO Minecraft Animals & Minifigures Fox Pig Cow Mooshroom Spider Hal Hex Pirate,True,,189,Brand New,509
LARGE ARTIC FOX STATUE (11” x 13.5”),False,,4000,Pre-Owned,1645
Safari Artic Fox Figure,False,,799,Pre-Owned,500
 HARELINE ARTIC FOX TAIL - Fly Tying,False,,582,Brand New,425
"Squishmallow Kellytoy Gracelynn Cat Rainbow Belly, NWT N007 Winter Fox Artic 7""",False,,1995,Brand New,455
Vintage ARTIC FOX Earrings MADE IN U.S.A.  The Alchemists Copper & Brass,True,,1995,Pre-Owned,0
Artic Fox #4 D&D Icons Of The Realms Icewind Dale Rime Of Frostmaiden,True,,440,Pre-Owned,0
"1810 John Wilkes Antique Print of a Artic Fox, Jerboa, Grey Fox & Jackal",False,,5499,,0
"NEW West Elm Rachel Kozlowski Dapper Animal Chritmas Artic Fox 8.5"" Salad Plate",False,0,1497,Brand New,1710
"Luxury full skin REAL FOX FUR throw,fur comforter,fur blanket,various colors",False,0,265000,Brand New,0
Original Old Antique Print Artic Fox Foxes Quadruped Audubon Color,False,,1692,Pre-Owned,1235
"Vintage Alaskan Caribou Skin Mask w/artic fox, beaver, seal by Lilly Killbear",False,,5900,,1190
Zoobles Chillville Collection & Happitat Artic Fox Misty #161,False,,999,Pre-Owned,475
Animal Jam Crystal Palace Den Artic Fox Walmart Exclusive Sealed - NEW,False,,3900,Brand New,1710
ARTIC FOX CENTRAL PARK ZOO Elongated Pressed Smashed Penny 11,False,,225,,0
2003 Hallmark Ornament- Cool Decade 4th in the Series- Artic Fox,False,,800,New (Other),675
"New Balance Womens 520RZ3 Running Shoes, SZ 5.0 WIDE, Artic Fox/Black, NEW 15174",True,0,2350,New (Other),0
FAUX FUR ARTIC SILVER FOX DARK GREY PREMIUM FABRIC160cm wide MADE IN ITALY D221,True,,1117,Brand New,2106
Webkinz ARTIC FOX Plush Toy Doll HM210 NWT + code NEW,False,,7999,Brand New,1260
Walmart Exclusive New Animal Jam Crystal Palace Den Artic Fox MIB Never Opened,False,,5000,Brand New,1200
New Listing1-ARTIC CAT 600 SX/XC SNO PRO REAR FOX 2.0 RC-2 SHOCK PART #952-03-016,False,,49999,New (Other),0
Artic Fox Hair  - COMBINED SHIPPING IN CART,True,,496,Brand New,449
69 (Tex 70) Lt-Mid Weight Bonded Nylon/Poly Upholstery Leather Thread (16oz),False,,2000,Brand New,0
Safari Artic Fox & White Tiger Cub Animals Figures Lot,True,,1198,Pre-Owned,0
"Ratermann Artic Fox 48"" Stainless Steel Cryogenic Flex Hose cleaned for oxygen",False,,6999,Brand New,1169
Sleeping White Artic Fox Porcelain Trinket Box,False,,2000,Pre-Owned,1275
New Balance x Isaac Mizrahi Live! Mesh Lace-Up Sneakers 499Q Artic Fox,False,,3499,Brand New,0
Arctic Fox Sportsmans Sharpening Puck,True,,2195,Brand New,0
Fox Stencil Coyote Artic Animal Wild Predator Rustic Cabin Lodge DIY Craft Signs,False,,1195,Brand New,0
IGT AVP Artic Fox Game Install Package,False,,7500,Pre-Owned,0
1-2022 ARTIC CAT ZR 6000 SX FRONT LEFT SKI SHOCK FOX EVOL 0 MILES #3703-949,False,,39900,New (Other),0
"Squishmallows Nadine the Artic Fox w/ Ear Muffs 12"" Australian Exclusive NEW",False,0,5148,Brand New,2433
"Fox, Artic, Polar, Very Nice Plastic Toy Animal,    3""    CWG119 B237",True,,379,Brand New,653
WILLIAMS-SONOMA HOME FAUX FUR THROW - ARTIC FOX,False,,17900,Brand New,1295
VINTAGE ARTIC FOX  CROSS STITCH PATTERN ONLY    #964,False,,745,Pre-Owned,0
Veniard Artic Fox Tail (piece),False,,632,Brand New,479
ARTIC FOX CENTRAL PARK ZOO COPPER Elongated Pressed Smashed Penny 29,False,,225,,0
2014 CANADA ARTIC FOX .9999 SILVER ROUND,False,,4988,,800
"The Elf on the Shelf RARE - ARTIC FOX Plushee Pals MINI Clip-on 4"" ",False,,1999,Brand New,299
POP Artic Fox Not Faux Fur Snap Wrap COLOR CHOICE,False,,1200,Brand New,600
Mini Artic Fox Plush National Geographic Happy Meal 2018 K5.3,False,,200,Pre-Owned,599
"Ty FROST Beanie Boos Artic Fox MEDIUM 9"" Walgreens Exclusive MWMT's ",False,,19995,Brand New,495
3 Lot Children's Books Chanda A. Bell: Elf Pets Artic Fox Saint Bernard Reindeer,False,,1650,New (Other),500
CHRISTMAS Santa Claus Artic Fox Rabbit Reindeer Moon Greeting Card - W/ TRACKING,False,,495,Brand New,359
Canada - 2014 $25.00 Silver O'Canada Artic Fox Coin - No Box,False,,3622,,739
"John A. Ruthven ""Artic Fox"" Limited Edition Numbered - 161/950 - Signed",False,,21869,,2046
BYX Co Arctic Fox Sportsmans Puck Medium & Fine Grit Knife Sharpener Stone XAFSP,True,45,1948,Brand New,0
NEW FREE PEOPLE ARTIC FOX BACK ZIP PULLOVER SWEATER SIZE XS Z274-5,True,,6240,New (Other),800
br71 Blue Artic Fox Taxidermy Oddities Curiosity display specimen collectible,False,,59999,Brand New,15950
OPI Infinite Shine 2 Suzi & The Artic Fox 0.5oz,False,,1050,New without box,0
"OPI Suzi & The Artic Fox, Black Dress Not Optional, Rub A Pub Pub ",False,,2299,New without box,399
"Ganz Webkinz Artic Fox Plush No Code HM210 Stuffed Animal Floppy Bean Bag Toy 8""",True,,699,Pre-Owned,599
Hansa Artic Synthetic Fiber Arctic Fox Seated With Multi-Color 3252,False,,6175,Brand New,0
"Arctic White Fox scarf bandana pink blue eyes 22"" square wildlife airbrush artic",False,,1293,Pre-Owned,725
Sterling Silver 3D 14x14mm Grey Gray Artic Red Fox Wolf Coyote Charm,False,,1899,New (Other),535
"SCANDINAVIAN full skin Artic Fox  FUR throw,comforter,fox fur blanket,fur rug",False,0,146000,Brand New,0
Sterling Silver 3D 13x16mm Grey Gray Artic Red Fox Wolf Charm,False,0,1899,New (Other),535
"GANZ WEBKINZ Arctic Fox Stuffed Animal Plush Toy 13""",False,,1700,Pre-Owned,585
BYX Co Artic Fox Dual Sportsmans Puck Gray/Blue Medium Grit Knife Sharpener AFSP,True,,2157,Brand New,0
Vintage Adolf Realites Artic Fox Fur Hat Paris New York Womens 21”,False,,8500,Pre-Owned,850
BESWICK Ceramic Artic Babies - ARTIC FOX CUB  - New 2013,False,,2256,Brand New,4519
Minecraft Dungeons -Artic Fox Armor 100% Flea x 4 Cooldown Xbox/PS4/Switch/PC,False,0,1600,Brand New · Sony PlayStation 4 · Minecraft,0
MEXA White Artic Fox PAPAKHA Real Genuine Fur Russian WINTER HAT,False,0,38999,Brand New,1115
Artic Fox Women’s Synthetic Wig,False,,7500,Pre-Owned,699
"Fox, Artic, Museum Quality Rubber Replica, Hand Painted 3"" CWG205 BB42",False,,789,Brand New,750
3 Lot Children's Books Chanda A. Bell: Elf Pets Artic Fox Saint Bernard Reindeer,False,,1500,Pre-Owned,500
USPS Artic Animals 15 .33 cent US postage stamps Polar Bear Gray Wolf Fox,False,,600,,530
Artic Fox 11/230 Minecraft Card PANINI 2020 Trading,False,,150,Pre-Owned,225
PartyLite Tealight Holder Artic Fox and Kit P93334 Nature's Wonders Animals,False,,2999,New (Other),1418
NEW Elf Pets An Arctic Fox Tradition Plush & Storybook Elf On The Shelf NEW!,False,,6699,Brand New,0
Authentic Littlest Pet Shop Artic Fox # 1028 Winter Snow Fun Playset Lot Set ,False,,2500,Pre-Owned,480
Dungeons & Dragons Icewind Dale Artic Fox 4/45,False,,299,Pre-Owned,400
WIEBE RED FOX FOLDING SCALPEL BLADE 24 EXTRA BLADES TRAPPING SKINNING  HAVALON ,True,25,4175,Brand New,0
Royal Grafton Artic Fox Cubs Bradex Collector Plate #A3634,False,,2998,Pre-Owned,0
NWT-10” Aurora Artic Fox Plush Animal Dog Husky Solid White Thick Tail Furry,False,,1800,Brand New,660
New Balance Women's WRT300DB Shoes Artic Fox/White Size 9,False,,2999,Pre-Owned,0
(10i) FDC 3289 Artic Fox - DGW,False,,375,,0
ARTIC FOX Money Hunny Repair Serum 2oz Vegan Cruelty Free,False,,1800,New without box,375
Retired 2018 McDonalds Happy Meal Toy National Geographic Kids #3 Artic Fox NIP,True,,399,Pre-Owned,450
NEW artic fox cryogenic hose 3/8” id x 6’ 72” Stainless cold frozen ,False,,5855,New – Open box,1255
NOS Vintage Rupp Bonanza Artic Cat Ruttman Fox Mini Bike Cherry 7/8 Brake Lever,False,,1799,New (Other),0
Silver Artic Fox Tail Dyed Black (By Foxy Tails) For Fly Tying ** 2022 Stocks **,False,,1014,Brand New,446
Restoration Hardware Luxe Artic Faux Fur Wine Bag Gift Bag Leather Tie NWT,False,,2399,Brand New,545
Chip & Pepper Size 30 Flare Artic Fox Dark Blue Stretch Denim Womens Jeans,True,,1206,Pre-Owned,849
Fox Stencil Red Artic Animal Dog Track Wild Predator Rustic Cabin DIY Craft Sign,False,,1395,Brand New,0
United States #3288-3292 MNH 1999 Arctic Animals Owl Bear Wolf Fox Hare,True,,499,,199
New ListingNew Elf Pets An Arctic Fox Tradition Plush & Storybook Elf On The Shelf NIB ,False,,3700,Brand New,1250
Vintage Postcard 1907-1915 NY Zoological Park Artic Fox Bronx Zoo NY,False,,295,Pre-Owned,295
"Ty Beanie Boos 2017 FROST The Artic Fox 6"" Walgreen's Exclusive RARE mint wmtags",False,,19999,Brand New,0
Ganz Webkinz Artic Fox Plush No Code HM210 Blush Pink Knitted Sweater,True,,1998,Pre-Owned,599
Crazy Mountain Snowman & Sleigh with Artic Fox  Tea Light Holder 2001 JLC 529,False,,1000,Pre-Owned,1125
Arctic Fox Round Saddle Fuel Tank Heater,False,0,15000,Pre-Owned,3230
Hansa Artic Synthetic Fiber Fox Arcticwhite 4069,False,,7144,Brand New,0
