name,free_returns,items_sold,price,status,shipping
"GREENIES Original TEENIE Natural Dental Dog Treats, 65 Treats X 2 (130 Treats)",True,,2899,Brand New,
2022 Anxiety Vest Pet Calming Jacket Thunder Shirt Coat Pet Dog Jacket XS - XL ,False,,1899,Brand New,
Reusable Washable Dog Diapers(3 Pack) - Dog Wraps for both Male and Female Dogs,True,138,1859,Brand New,0
Shop on eBay,False,,2000,Brand New,
2700 FT Remote Dog Shock Training Collar Rechargeable Waterproof LCD Pet Trainer,True,,2589,Brand New,0
Pet Glove Dog Cat Hair Remover Mitt Massage Brush Deshedding Grooming,True,51,99,Brand New,0
LED Adjustable Dog Collar Blinking Night Flashing Light Up Glow Pets Safety USA,True,109,495,Brand New,
"Dog Support Harness Vest, No Pull with Reflective trim and Padded Comfort",False,,2599,Brand New,0
Sale Adopt Your Pet From Me compatible,False,,100,Brand New,0
Premium Big Dog Martingale Collar ~ No Choke ~ S M L Nylon No Buckle Training,True,34,895,Brand New,0
Pet Dog Fleece Lined Jacket Warm Coat Reflective Vest Winter Clothes Waterproof ,False,,1103,Brand New,0
USA Nylon adjustable Personalized Dog Collar Custom Embroidered Name Durable,True,,998,Brand New,0
USA Reflective Dog Vest Harness Leash Collar Set No Pull Adjustable for XS-L,True,,998,Brand New,0
Automatic Pet Dog Cat Water Fountain 2.5L LED Auto Dish Drinking Dispenser Bowl,False,195,2099,Brand New,0
Electric Pet Dog Cat Toe Nail Grinder File Claws Clippers Grooming Trimmer Tools,False,,899,Brand New,0
"Luxury Leather Designer Dog Collar In XS, S, M, L, XL (Optional Leash Available)",False,,1599,Brand New,350
Automatic Shock Control Collar No Barking For Small Medium Large Dog Anti Bark,True,,879,Brand New,0
Female Dog Diapers Washable & Reusable by PETTING IS CARING - Set Pack of 3 Unit,False,176,1198,Brand New,0
Dog Harness & Training Leash No Pull Control Adjustable Large Handle Heavy Duty,True,,1499,Brand New,
Personalized Customized Embroidered Dog Name Adjustable Nylon Collar For Dogs,False,140,1099,Brand New,0
CUSTOM ENGRAVED DOG PET TAG SINGLE SIDE PERSONALIZED ID DOG CAT CHARM TAGS,False,,298,Brand New,0
All-Weather Design Dog House Shelter Easy to Assemble Perfect for Backyards ,True,,6458,Brand New,0
Soft Leather Personalized Dog Collar Engrave ID Name Custom for Small Large Dogs,True,,998,Brand New,0
Invisible Dog Leash,True,106,999,Brand New,
2600FT Dog Training Collar Rechargeable Remote Shock PET Waterproof For 2 Dogs,True,,3799,Brand New,0
"200 Housebreaking 23"" x  24"" Dog PEE Pads Puppy Underpads House Training Pads",False,5211,2860,Brand New,
Flee Gone Dead Fast Control 2 Week Supply Dog Cat 2-13lb Natural Supplement,True,,1499,Brand New,
Pet Dog Vest Jacket Warm Waterproof Clothes Winter Padded Coat Small/Large US,False,,579,Brand New,0
LARGE SPLIT ELK ANTLER Premium Dog Chew 7”+ (1pc) **OREGON ANTLER WORKS**,True,,1095,Brand New,
$5 DEALS! Roblox Adopt me Neon Mega Neon FR R MFR NFR Cheap! ✨SAME DAY DELIVERY✨,False,,500,Brand New,
Small Dog Breathable Mesh harness Vest Collar soft chest strap XS-XL Leash set,False,0,494,Brand New,0
Professional Pet Dog Cat Nail Trimmer Grooming Tool Grinder Electric Clipper USA,True,943,1049,Brand New,
Tactical K9 Dog Harness with Handle No-pull Large Dog Vest+Leash US Working Dog,True,,990,Brand New,0
Ipets 1000ft Remote Dog Training Shock Collar Rechargeable Waterproof Dog Collar,True,,3199,Brand New,0
5FT Heavy Duty Dog Leash Large Pet Rope Reflective Nylon Leads with Comfy Handle,True,,637,Brand New,
Dog Shock Training Collar Rechargeable Remote Control Waterproof IP67 875 Yards,True,,2498,Brand New,
 Tactical Dog Collar w/ Handle Heavy Duty Military Service Canine Training K9 b,True,,1271,Brand New,
Stainless steel dog pet id tags (lifetime guarantee!)  Personalized w/ free ring,False,2959,595,Brand New,0
Personalized reflective Leather Dog Collar with name plate XS S M L XXL,False,,499,Brand New,0
Xbox Wireless Controller Robot White + Watch Dogs: Legion (Email Delivery),True,1227,4999,Brand New,0
VibrantLife BOSS MAN Dog Pullover Sweater Knit Pet Male Size: Medium Free Ship!,False,,989,Brand New,
Dog Clothes Pet Winter Sweater Knitwear Puppy Clothing Warm Apparel Coat US,False,,919,New (Other),0
PETKIT Pet Cat Dog Water Fountain Drinking Fountain Dispenser Bowl With Filter,False,51,999,Brand New,0
2 Pack Cat DOG PET Safety Seatbelt Car Vehicle Seat Belt Adjustable Harness Lead,True,,749,Brand New,0
LARGE Elk/Deer Antler Premium Dog Chew (1pc) **OREGON ANTLER WORKS**,True,,1495,Brand New,
